epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.058,0.99093,5.4694,1.33144,0.84476,0.90696,0.93462,0.86099,0.04217,11.9982,0.03781,9.9375e-05,9.9375e-05,9.9375e-05
2,206.312,0.98719,5.23462,1.23853,0.70159,0.70119,0.75531,0.50521,0.12131,11.8109,0.11333,0.000198711,0.000198711,0.000198711
3,307.814,1.02439,4.57711,1.30368,0.52286,0.70175,0.58096,0.32638,0.14385,13.6667,0.15179,0.000297381,0.000297381,0.000297381
4,406.731,1.13753,4.63896,1.35366,0.77592,0.78973,0.85996,0.63118,0.0997,11.2766,0.08795,0.000395385,0.000395385,0.000395385
5,506.496,1.06493,5.23947,1.2692,0.24975,0.30702,0.22282,0.10398,0.14163,9.16142,0.13503,0.000492723,0.000492723,0.000492723
6,603.319,1.20148,3.90298,1.38056,0.22243,0.53509,0.20925,0.08736,0.17991,9.86838,0.19223,0.000589395,0.000589395,0.000589395
7,696.801,1.12606,3.99911,1.31279,0.87103,0.82941,0.91454,0.62334,0.13436,6.96954,0.12453,0.000685401,0.000685401,0.000685401
8,789.956,1.30145,3.18655,1.43823,0.70601,0.75439,0.81467,0.49298,0.15081,9.69346,0.13024,0.000780742,0.000780742,0.000780742
9,882.873,1.21934,3.1965,1.37952,0.90577,0.67544,0.80985,0.46283,0.13035,6.64696,0.12216,0.000875416,0.000875416,0.000875416
10,976.54,1.20593,2.90137,1.33438,0.78085,0.64912,0.78572,0.5495,0.12113,10.1586,0.10327,0.000969424,0.000969424,0.000969424
11,1070.4,1.19498,2.53437,1.34366,0.70711,0.76316,0.79643,0.66927,0.10943,12.6341,0.08728,0.0009667,0.0009667,0.0009667
12,1164.62,1.26039,2.60719,1.40487,0.47028,0.57895,0.46056,0.25607,0.11746,5.29612,0.10297,0.00096337,0.00096337,0.00096337
13,1263,1.19786,2.35994,1.36329,0.73043,0.73684,0.77413,0.48595,0.13108,3.91835,0.11772,0.00096004,0.00096004,0.00096004
14,1358.03,1.21711,2.32611,1.3487,0.75534,0.71053,0.83129,0.56229,0.14577,3.01512,0.13093,0.00095671,0.00095671,0.00095671
15,1455.62,1.24666,2.17167,1.36316,0.72584,0.68421,0.7312,0.47533,0.13759,2.12174,0.12719,0.00095338,0.00095338,0.00095338
16,1550.49,1.18492,2.11803,1.30967,0.8026,0.78947,0.85446,0.60566,0.12995,2.52817,0.12219,0.00095005,0.00095005,0.00095005
17,1649.59,1.13018,2.13089,1.2947,0.89758,0.84565,0.93312,0.65662,0.11461,1.99126,0.09859,0.00094672,0.00094672,0.00094672
18,1745.21,1.11013,1.99466,1.27202,0.78542,0.8669,0.89582,0.61391,0.11991,2.63598,0.10646,0.00094339,0.00094339,0.00094339
19,1844.23,1.13387,1.79738,1.27765,0.94322,0.85965,0.95886,0.71426,0.10703,1.38443,0.09316,0.00094006,0.00094006,0.00094006
